24,012	23,657
8,995	18,586
14,655	15,887
24,799	16,149
11,840	17,098
22,655	19,765
24,968	19,821
24,986	24,203
22,979	24,311
6,746	18,237
8,504	12,743
21,460	12,236
14,017	14,660
24,863	20,113
9,166	16,016
6,593	13,541
13,944	9,901
6,896	9,144
12,364	11,068
22,920	14,060
16,385	17,223
21,664	20,323
24,672	20,907
17,921	21,419
14,870	19,154
14,795	15,862
19,856	16,507
23,226	19,292
18,100	20,394
24,998	22,108
24,849	22,649
21,772	23,873
14,061	20,228
8,613	14,815
18,273	13,649
15,201	14,029
7,231	13,568
16,429	12,954
24,507	16,056
13,212	18,049
10,199	15,972
24,592	16,001
23,050	19,281
17,097	21,580
7,973	16,040
13,316	12,796
6,927	9,405
9,486	9,910
16,053	10,822
24,504	16,681
18,394	19,650
24,168	22,355
24,796	22,452
5,833	18,266
